year;director;genre;film;winner
1976;Federico Fellini;;Amarcord;FALSE
1976;Stanley Kubrick;;Barry Lyndon;FALSE
1976;Sidney Lumet;;Dog Day Afternoon;FALSE
1976;Robert Altman;;Nashville;FALSE
1976;Milos Forman;;One Flew over the Cuckoo's Nest;TRUE
1977;Alan J. Pakula;;All the President's Men;FALSE
1977;Ingmar Bergman;;Face to Face;FALSE
1977;Sidney Lumet;;Network;FALSE
1977;John G. Avildsen;;Rocky;TRUE
1977;Lina Wertmller;;Seven Beauties;FALSE
1978;Woody Allen;;Annie Hall;TRUE
1978;Steven Spielberg;;Close Encounters of the Third Kind;FALSE
1978;Fred Zinnemann;;Julia;FALSE
1978;George Lucas;;Star Wars;FALSE
1978;Herbert Ross;;The Turning Point;FALSE
1979;Hal Ashby;;Coming Home;FALSE
1979;Michael Cimino;;The Deer Hunter;TRUE
1979;Warren Beatty, Buck Henry;;Heaven Can Wait;FALSE
1979;Woody Allen;;Interiors;FALSE
1979;Alan Parker;;Midnight Express;FALSE
1980;Bob Fosse;;All That Jazz;FALSE
1980;Francis Coppola;;Apocalypse Now;FALSE
1980;Peter Yates;;Breaking Away;FALSE
1980;Robert Benton;;Kramer vs. Kramer;TRUE
1980;Edouard Molinaro;;La Cage aux Folles;FALSE
1981;David Lynch;;The Elephant Man;FALSE
1981;Robert Redford;;Ordinary People;TRUE
1981;Martin Scorsese;;Raging Bull;FALSE
1981;Richard Rush;;The Stunt Man;FALSE
1981;Roman Polanski;;Tess;FALSE
1982;Louis Malle;;Atlantic City;FALSE
1982;Hugh Hudson;;Chariots of Fire;FALSE
1982;Mark Rydell;;On Golden Pond;FALSE
1982;Steven Spielberg;;Raiders of the Lost Ark;FALSE
1982;Warren Beatty;;Reds;TRUE
1983;Wolfgang Petersen;;Das Boot;FALSE
1983;Steven Spielberg;;E.T. The Extra-Terrestrial;FALSE
1983;Richard Attenborough;;Gandhi;TRUE
1983;Sydney Pollack;;Tootsie;FALSE
1983;Sidney Lumet;;The Verdict;FALSE
1984;Peter Yates;;The Dresser;FALSE
1984;Ingmar Bergman;;Fanny & Alexander;FALSE
1984;Mike Nichols;;Silkwood;FALSE
1984;Bruce Beresford;;Tender Mercies;FALSE
1984;James L. Brooks;;Terms of Endearment;TRUE
1985;Milos Forman;;Amadeus;TRUE
1985;Woody Allen;;Broadway Danny Rose;FALSE
1985;Roland Joff;;The Killing Fields;FALSE
1985;David Lean;;A Passage to India;FALSE
1985;Robert Benton;;Places in the Heart;FALSE
1986;Hector Babenco;;Kiss of the Spider Woman;FALSE
1986;Sydney Pollack;;Out of Africa;TRUE
1986;John Huston;;Prizzi's Honor;FALSE
1986;Akira Kurosawa;;Ran;FALSE
1986;Peter Weir;;Witness;FALSE
1987;David Lynch;;Blue Velvet;FALSE
1987;Woody Allen;;Hannah and Her Sisters;FALSE
1987;Roland Joff;;The Mission;FALSE
1987;Oliver Stone;;Platoon;TRUE
1987;James Ivory;;A Room with a View;FALSE
1988;Adrian Lyne;;Fatal Attraction;FALSE
1988;John Boorman;;Hope and Glory;FALSE
1988;Bernardo Bertolucci;;The Last Emperor;TRUE
1988;Norman Jewison;;Moonstruck;FALSE
1988;Lasse Hallstrm;;My Life as a Dog;FALSE
1989;Charles Crichton;;A Fish Called Wanda;FALSE
1989;Martin Scorsese;;The Last Temptation of Christ;FALSE
1989;Alan Parker;;Mississippi Burning;FALSE
1989;Barry Levinson;;Rain Man;TRUE
1989;Mike Nichols;;Working Girl;FALSE
1990;Oliver Stone;;Born on the Fourth of July;TRUE
1990;Woody Allen;;Crimes and Misdemeanors;FALSE
1990;Peter Weir;;Dead Poets Society;FALSE
1990;Kenneth Branagh;;Henry V;FALSE
1990;Jim Sheridan;;My Left Foot;FALSE
1991;Kevin Costner;;Dances With Wolves;TRUE
1991;Francis Ford Coppola;;The Godfather, Part III;FALSE
1991;Martin Scorsese;;Good Fellas;FALSE
1991;Stephen Frears;;The Grifters;FALSE
